iter	Passed	Remaining
401	18525	73641
402	18567	73580
403	18597	73469
404	18624	73346
405	18665	73282
406	18719	73268
407	18767	73229
408	18809	73169
409	18852	73109
410	18867	72945
411	18912	72895
412	18956	72842
413	19001	72792
414	19020	72643
415	19064	72590
416	19106	72530
417	19147	72467
418	19190	72410
419	19211	72271
420	19231	72130
421	19275	72078
422	19317	72019
423	19368	71991
424	19424	71983
425	19465	71921
426	19509	71868
427	19554	71822
428	19618	71842
429	19660	71783
430	19718	71783
431	19770	71758
432	19825	71748
433	19866	71685
434	19920	71668
435	19973	71648
436	20014	71586
437	20037	71458
438	20100	71471
439	20143	71419
440	20187	71366
441	20228	71302
442	20270	71244
443	20335	71265
444	20352	71120
445	20368	70969
446	20409	70909
447	20477	70938
448	20500	70817
449	20544	70765
450	20565	70634
451	20629	70653
452	20673	70600
453	20718	70552
454	20761	70499
455	20783	70372
456	20825	70315
457	20888	70327
458	20916	70222
459	20958	70165
460	21009	70138
461	21065	70127
462	21109	70075
463	21172	70088
464	21214	70032
465	21258	69978
466	21280	69855
467	21321	69795
468	21384	69806
469	21431	69765
470	21458	69661
471	21501	69605
472	21524	69489
473	21584	69488
474	21628	69439
475	21650	69318
476	21692	69262
477	21708	69122
478	21750	69066
479	21795	69020
480	21841	68975
481	21900	68972
482	21944	68921
483	21987	68869
484	22033	68825
485	22077	68777
486	22106	68679
487	22147	68622
488	22171	68510
489	22213	68452
490	22258	68406
491	22300	68350
492	22345	68305
493	22395	68273
494	22417	68157
495	22431	68019
496	22473	67963
497	22513	67902
498	22541	67805
499	22583	67749
500	22626	67698
501	22669	67647
502	22711	67593
503	22739	67496
504	22755	67364
505	22796	67308
506	22841	67263
507	22892	67236
508	22940	67198
509	22969	67106
510	23012	67055
511	23052	66996
512	23094	66941
513	23137	66890
514	23178	66834
515	23217	66772
516	23261	66724
517	23303	66670
518	23346	66619
519	23367	66508
520	23409	66455
521	23456	66415
522	23499	66364
523	23554	66346
524	23597	66297
525	23641	66250
526	23683	66198
527	23728	66152
528	23771	66102
529	23798	66008
530	23841	65957
531	23886	65911
532	23907	65801
533	23949	65747
534	23995	65706
535	24036	65652
536	24082	65611
537	24125	65561
538	24168	65509
539	24185	65391
540	24227	65337
541	24242	65212
542	24282	65155
543	24324	65104
544	24379	65085
545	24438	65078
546	24510	65107
547	24560	65075
548	24607	65036
549	24651	64990
550	24693	64937
551	24736	64889
552	24779	64838
553	24823	64792
554	24867	64745
555	24910	64694
556	24926	64575
557	24965	64516
558	25006	64461
559	25052	64420
560	25095	64370
561	25138	64321
562	25182	64275
563	25227	64230
564	25248	64125
565	25290	64075
566	25333	64025
567	25375	63975
568	25418	63927
569	25460	63875
570	25477	63760
571	25519	63709
572	25565	63667
573	25610	63624
574	25653	63575
575	25695	63525
576	25737	63474
577	25779	63422
578	25822	63374
579	25864	63324
580	25906	63273
581	25946	63216
582	25974	63130
583	26017	63083
584	26058	63029
585	26105	62992
586	26121	62877
587	26163	62828
588	26204	62776
589	26247	62726
590	26289	62677
591	26332	62629
592	26375	62580
593	26417	62530
594	26459	62479
595	26503	62435
596	26545	62385
597	26588	62335
598	26634	62295
599	26651	62187
600	26692	62133
601	26735	62086
602	26777	62036
603	26819	61987
604	26864	61942
605	26885	61844
606	26939	61823
607	26984	61780
608	27028	61734
609	27070	61685
610	27086	61576
611	27129	61528
612	27177	61492
613	27198	61395
614	27240	61347
615	27285	61303
